date,temperature_2m_mean,missing
2015-12-31T23:00:00,6.467833,False
2016-01-01T23:00:00,5.613666,False
2016-01-02T23:00:00,6.980334,False
2016-01-03T23:00:00,5.1303334,False
2016-01-04T23:00:00,5.6678333,False
2016-01-05T23:00:00,2.5740836,False
2016-01-06T23:00:00,4.499083,False
2016-01-07T23:00:00,5.6636662,False
2016-01-08T23:00:00,5.4928336,False
2016-01-09T23:00:00,6.5449166,False
2016-01-10T23:00:00,4.649084,False
2016-01-11T23:00:00,5.4324164,False
2016-01-12T23:00:00,5.061583,False
2016-01-13T23:00:00,2.924083,False
2016-01-14T23:00:00,2.672,False
2016-01-15T23:00:00,2.7490835,False
2016-01-16T23:00:00,0.21366669,False
2016-01-17T23:00:00,-2.5634162,False
2016-01-18T23:00:00,-1.4905001,False
2016-01-19T23:00:00,1.7115831,False
2016-01-20T23:00:00,-0.47591653,False
2016-01-21T23:00:00,1.1011666,False
2016-01-22T23:00:00,6.861584,False
2016-01-23T23:00:00,7.392833,False
2016-01-24T23:00:00,10.117834,False
2016-01-25T23:00:00,8.467833,False
2016-01-26T23:00:00,10.4595,False
2016-01-27T23:00:00,6.54075,False
2016-01-28T23:00:00,8.99075,False
2016-01-29T23:00:00,7.4115844,False
2016-01-30T23:00:00,6.063667,False
2016-01-31T23:00:00,10.236582,False
2016-02-01T23:00:00,8.230333,False
2016-02-02T23:00:00,5.1949162,False
2016-02-03T23:00:00,5.269916,False
2016-02-04T23:00:00,7.4199166,False
2016-02-05T23:00:00,9.138667,False
2016-02-06T23:00:00,8.419917,False
2016-02-07T23:00:00,7.588667,False
2016-02-08T23:00:00,5.651167,False
2016-02-09T23:00:00,5.011583,False
2016-02-10T23:00:00,4.486583,False
2016-02-11T23:00:00,2.3574166,False
2016-02-12T23:00:00,2.82825,False
2016-02-13T23:00:00,2.3303337,False
2016-02-14T23:00:00,2.96575,False
2016-02-15T23:00:00,1.3219999,False
2016-02-16T23:00:00,-0.8134169,False
2016-02-17T23:00:00,1.4136666,False
2016-02-18T23:00:00,3.4220002,False
2016-02-19T23:00:00,7.374083,False
2016-02-20T23:00:00,9.322001,False
2016-02-21T23:00:00,6.7595,False
2016-02-22T23:00:00,4.6074166,False
2016-02-23T23:00:00,2.9824169,False
2016-02-24T23:00:00,2.2574165,False
2016-02-25T23:00:00,2.136583,False
2016-02-26T23:00:00,2.00325,False
2016-02-27T23:00:00,2.497,False
2016-02-28T23:00:00,2.711583,False
2016-02-29T23:00:00,1.972,False
2016-03-01T23:00:00,5.5053334,False
2016-03-02T23:00:00,3.9199169,False
2016-03-03T23:00:00,2.0553331,False
2016-03-04T23:00:00,1.7303332,False
2016-03-05T23:00:00,1.9657499,False
2016-03-06T23:00:00,2.976167,False
2016-03-07T23:00:00,3.1949167,False
2016-03-08T23:00:00,4.4011664,False
2016-03-09T23:00:00,3.9824169,False
2016-03-10T23:00:00,4.7261667,False
2016-03-11T23:00:00,3.9824162,False
2016-03-12T23:00:00,3.77825,False
2016-03-13T23:00:00,3.4970007,False
2016-03-14T23:00:00,4.7886667,False
2016-03-15T23:00:00,4.957416,False
2016-03-16T23:00:00,4.5136666,False
2016-03-17T23:00:00,4.8949165,False
2016-03-18T23:00:00,5.782416,False
2016-03-19T23:00:00,6.3845,False
2016-03-20T23:00:00,6.722,False
2016-03-21T23:00:00,7.3240833,False
2016-03-22T23:00:00,6.951168,False
2016-03-23T23:00:00,7.1886673,False
2016-03-24T23:00:00,7.263666,False
2016-03-25T23:00:00,8.013667,False
2016-03-26T23:00:00,8.838667,False
2016-03-27T23:00:00,8.726167,False
2016-03-28T23:00:00,7.2386665,False
2016-03-29T23:00:00,7.4844995,False
2016-03-30T23:00:00,7.0574174,False
2016-03-31T23:00:00,6.9594994,False
2016-04-01T23:00:00,8.942834,False
2016-04-02T23:00:00,13.2345,False
2016-04-03T23:00:00,12.238667,False
2016-04-04T23:00:00,9.336583,False
2016-04-05T23:00:00,8.347001,False
2016-04-06T23:00:00,7.1345,False
2016-04-07T23:00:00,7.217833,False
2016-04-08T23:00:00,8.459499,False
2016-04-09T23:00:00,9.659501,False
2016-04-10T23:00:00,11.836583,False
2016-04-11T23:00:00,11.199082,False
2016-04-12T23:00:00,9.780334,False
2016-04-13T23:00:00,9.692834,False
2016-04-14T23:00:00,9.559501,False
2016-04-15T23:00:00,8.144916,False
2016-04-16T23:00:00,6.765749,False
2016-04-17T23:00:00,8.132417,False
2016-04-18T23:00:00,9.092834,False
2016-04-19T23:00:00,7.79075,False
2016-04-20T23:00:00,8.451167,False
2016-04-21T23:00:00,7.790751,False
2016-04-22T23:00:00,6.3615837,False
2016-04-23T23:00:00,5.455333,False
2016-04-24T23:00:00,5.6345,False
2016-04-25T23:00:00,5.3886666,False
2016-04-26T23:00:00,6.0615826,False
2016-04-27T23:00:00,5.642833,False
2016-04-28T23:00:00,7.3886666,False
2016-04-29T23:00:00,7.519916,False
2016-04-30T23:00:00,7.619917,False
2016-05-01T23:00:00,9.669917,False
2016-05-02T23:00:00,9.542834,False
2016-05-03T23:00:00,9.619917,False
2016-05-04T23:00:00,11.913667,False
2016-05-05T23:00:00,15.526166,False
2016-05-06T23:00:00,17.707417,False
2016-05-07T23:00:00,18.499084,False
2016-05-08T23:00:00,18.992832,False
2016-05-09T23:00:00,18.699083,False
2016-05-10T23:00:00,19.119919,False
2016-05-11T23:00:00,18.967834,False
2016-05-12T23:00:00,14.394917,False
2016-05-13T23:00:00,8.957417,False
2016-05-14T23:00:00,8.817833,False
2016-05-15T23:00:00,9.2845,False
2016-05-16T23:00:00,11.749082,False
2016-05-17T23:00:00,12.967834,False
2016-05-18T23:00:00,13.001167,False
2016-05-19T23:00:00,13.042834,False
2016-05-20T23:00:00,16.340748,False
2016-05-21T23:00:00,14.957416,False
2016-05-22T23:00:00,11.757419,False
2016-05-23T23:00:00,10.861585,False
2016-05-24T23:00:00,12.17825,False
2016-05-25T23:00:00,13.4365835,False
2016-05-26T23:00:00,14.953247,False
2016-05-27T23:00:00,16.307417,False
2016-05-28T23:00:00,16.501165,False
2016-05-29T23:00:00,15.807416,False
2016-05-30T23:00:00,18.442837,False
2016-05-31T23:00:00,17.647001,False
2016-06-01T23:00:00,15.163666,False
2016-06-02T23:00:00,17.296999,False
2016-06-03T23:00:00,19.8845,False
2016-06-04T23:00:00,17.838667,False
2016-06-05T23:00:00,16.438667,False
2016-06-06T23:00:00,17.928251,False
2016-06-07T23:00:00,15.1345,False
2016-06-08T23:00:00,13.771999,False
2016-06-09T23:00:00,14.457416,False
2016-06-10T23:00:00,14.75325,False
2016-06-11T23:00:00,16.144915,False
2016-06-12T23:00:00,15.534501,False
2016-06-13T23:00:00,15.294915,False
2016-06-14T23:00:00,14.847,False
2016-06-15T23:00:00,15.826167,False
2016-06-16T23:00:00,15.261584,False
2016-06-17T23:00:00,13.888665,False
2016-06-18T23:00:00,14.490752,False
2016-06-19T23:00:00,15.328251,False
2016-06-20T23:00:00,16.669916,False
2016-06-21T23:00:00,19.024084,False
2016-06-22T23:00:00,21.611586,False
2016-06-23T23:00:00,18.638666,False
2016-06-24T23:00:00,15.474082,False
2016-06-25T23:00:00,14.861583,False
2016-06-26T23:00:00,15.01575,False
2016-06-27T23:00:00,16.086584,False
2016-06-28T23:00:00,15.717834,False
2016-06-29T23:00:00,15.586582,False
2016-06-30T23:00:00,16.705336,False
2016-07-01T23:00:00,14.686582,False
2016-07-02T23:00:00,15.144919,False
2016-07-03T23:00:00,16.772001,False
2016-07-04T23:00:00,15.540751,False
2016-07-05T23:00:00,15.021999,False
2016-07-06T23:00:00,16.182417,False
2016-07-07T23:00:00,16.799084,False
2016-07-08T23:00:00,18.257416,False
2016-07-09T23:00:00,19.626167,False
2016-07-10T23:00:00,17.861584,False
2016-07-11T23:00:00,16.66367,False
2016-07-12T23:00:00,15.14075,False
2016-07-13T23:00:00,14.7178335,False
2016-07-14T23:00:00,15.965751,False
2016-07-15T23:00:00,18.394918,False
2016-07-16T23:00:00,18.778252,False
2016-07-17T23:00:00,18.9345,False
2016-07-18T23:00:00,21.361582,False
2016-07-19T23:00:00,23.740751,False
2016-07-20T23:00:00,21.051168,False
2016-07-21T23:00:00,20.661585,False
2016-07-22T23:00:00,20.342833,False
2016-07-23T23:00:00,19.990751,False
2016-07-24T23:00:00,18.747,False
2016-07-25T23:00:00,18.86575,False
2016-07-26T23:00:00,18.307419,False
2016-07-27T23:00:00,18.094915,False
2016-07-28T23:00:00,18.224083,False
2016-07-29T23:00:00,18.236586,False
2016-07-30T23:00:00,16.799082,False
2016-07-31T23:00:00,16.767832,False
2016-08-01T23:00:00,16.46992,False
2016-08-02T23:00:00,18.978249,False
2016-08-03T23:00:00,17.807417,False
2016-08-04T23:00:00,17.41575,False
2016-08-05T23:00:00,17.107416,False
2016-08-06T23:00:00,18.553251,False
2016-08-07T23:00:00,17.363667,False
2016-08-08T23:00:00,14.9053335,False
2016-08-09T23:00:00,13.761584,False
2016-08-10T23:00:00,14.263667,False
2016-08-11T23:00:00,18.63867,False
2016-08-12T23:00:00,17.855335,False
2016-08-13T23:00:00,17.1345,False
2016-08-14T23:00:00,16.25117,False
2016-08-15T23:00:00,16.4595,False
2016-08-16T23:00:00,17.505335,False
2016-08-17T23:00:00,17.440752,False
2016-08-18T23:00:00,18.557417,False
2016-08-19T23:00:00,18.615751,False
2016-08-20T23:00:00,17.084501,False
2016-08-21T23:00:00,18.311584,False
2016-08-22T23:00:00,21.422003,False
2016-08-23T23:00:00,23.378252,False
2016-08-24T23:00:00,24.309502,False
2016-08-25T23:00:00,21.288666,False
2016-08-26T23:00:00,20.932417,False
2016-08-27T23:00:00,20.619917,False
2016-08-28T23:00:00,17.69075,False
2016-08-29T23:00:00,17.130333,False
2016-08-30T23:00:00,18.469917,False
2016-08-31T23:00:00,17.882421,False
2016-09-01T23:00:00,17.251167,False
2016-09-02T23:00:00,18.534502,False
2016-09-03T23:00:00,17.801168,False
2016-09-04T23:00:00,17.899084,False
2016-09-05T23:00:00,19.038668,False
2016-09-06T23:00:00,20.284498,False
2016-09-07T23:00:00,19.782417,False
2016-09-08T23:00:00,18.65117,False
2016-09-09T23:00:00,19.367832,False
2016-09-10T23:00:00,19.213667,False
2016-09-11T23:00:00,21.640747,False
2016-09-12T23:00:00,23.682417,False
2016-09-13T23:00:00,24.0595,False
2016-09-14T23:00:00,22.669916,False
2016-09-15T23:00:00,18.376167,False
2016-09-16T23:00:00,18.061583,False
2016-09-17T23:00:00,17.288668,False
2016-09-18T23:00:00,16.192833,False
2016-09-19T23:00:00,15.509499,False
2016-09-20T23:00:00,16.053251,False
2016-09-21T23:00:00,16.213667,False
2016-09-22T23:00:00,15.586585,False
2016-09-23T23:00:00,16.926167,False
2016-09-24T23:00:00,17.074083,False
2016-09-25T23:00:00,15.06992,False
2016-09-26T23:00:00,14.922001,False
2016-09-27T23:00:00,17.936584,False
2016-09-28T23:00:00,17.130335,False
2016-09-29T23:00:00,15.042834,False
2016-09-30T23:00:00,13.609502,False
2016-10-01T23:00:00,12.396999,False
2016-10-02T23:00:00,14.247002,False
2016-10-03T23:00:00,12.747001,False
2016-10-04T23:00:00,10.665751,False
2016-10-05T23:00:00,10.140751,False
2016-10-06T23:00:00,11.899083,False
2016-10-07T23:00:00,11.138668,False
2016-10-08T23:00:00,9.4990835,False
2016-10-09T23:00:00,8.7907505,False
2016-10-10T23:00:00,9.386583,False
2016-10-11T23:00:00,9.378251,False
2016-10-12T23:00:00,9.07825,False
2016-10-13T23:00:00,9.174085,False
2016-10-14T23:00:00,11.286583,False
2016-10-15T23:00:00,12.986585,False
2016-10-16T23:00:00,13.032416,False
2016-10-17T23:00:00,10.813666,False
2016-10-18T23:00:00,9.907416,False
2016-10-19T23:00:00,10.2699175,False
2016-10-20T23:00:00,9.224082,False
2016-10-21T23:00:00,7.719916,False
2016-10-22T23:00:00,6.25325,False
2016-10-23T23:00:00,7.5844994,False
2016-10-24T23:00:00,8.9886675,False
2016-10-25T23:00:00,9.901166,False
2016-10-26T23:00:00,12.292832,False
2016-10-27T23:00:00,13.257416,False
2016-10-28T23:00:00,10.961583,False
2016-10-29T23:00:00,9.692834,False
2016-10-30T23:00:00,9.024084,False
2016-10-31T23:00:00,10.507417,False
2016-11-01T23:00:00,8.9845,False
2016-11-02T23:00:00,8.1240835,False
2016-11-03T23:00:00,8.39075,False
2016-11-04T23:00:00,7.8053336,False
2016-11-05T23:00:00,7.6615834,False
2016-11-06T23:00:00,4.4845004,False
2016-11-07T23:00:00,3.1636667,False
2016-11-08T23:00:00,2.901167,False
2016-11-09T23:00:00,3.4074166,False
2016-11-10T23:00:00,3.2907503,False
2016-11-11T23:00:00,2.7345,False
2016-11-12T23:00:00,4.122,False
2016-11-13T23:00:00,3.0970001,False
2016-11-14T23:00:00,11.132416,False
2016-11-15T23:00:00,11.222,False
2016-11-16T23:00:00,9.203248,False
2016-11-17T23:00:00,7.055332,False
2016-11-18T23:00:00,5.472,False
2016-11-19T23:00:00,7.5386662,False
2016-11-20T23:00:00,10.674084,False
2016-11-21T23:00:00,10.701167,False
2016-11-22T23:00:00,7.5095,False
2016-11-23T23:00:00,6.9053326,False
2016-11-24T23:00:00,3.7949164,False
2016-11-25T23:00:00,1.9657499,False
